Asset Number,DeviceID,Manufacturer,Model,Image Date,Image Time,Body Part,View,Exposure Index,KAP (uGy.m2),kVp,Exposure (mAs),Exposure time (ms),Image Status,Reject Reason
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,2:18:32 PM,Ankle R,Lateral,313,3.46,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,2:18:05 PM,Ankle R,Oblique,191,2.65,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:04:11 AM,Thumb L,Lat,167,0.63,50.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:03:11 AM,Thumb L,Oblique,171,0.72,50.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:12:07 AM,Ankle R,Lateral,227,2.98,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:11:28 AM,Ankle R,Oblique,112,1.85,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:10:54 AM,Ankle R,AP,93,1.85,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:18:53 AM,Humerus R,Lat Shoulder,227,55.22,73.0,25.0,29.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:18:12 AM,Humerus R,Lateral,130,19.16,70.0,6.0,15.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:17:05 AM,Humerus R,AP,156,16.19,70.0,6.0,15.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:35:31 AM,Shoulder R,Outlet PA,371,74.22,73.0,28.0,32.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:35:05 AM,Shoulder R,Outlet PA,366,85.55,77.0,28.0,34.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:33:52 AM,Shoulder R,Glenoid,710,25.31,77.0,16.0,19.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:33:21 AM,Shoulder R,AP Neutral,131,15.7,77.0,3.0,4.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:51:38 AM,Thumb R,AP,215,0.65,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:50:11 AM,Thumb R,AP,399,0.89,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:45:15 AM,Thumb R,AP,396,0.51,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:44:48 AM,Thumb R,AP,308,0.93,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:43:57 AM,Thumb R,Lat,414,0.93,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:43:28 AM,Thumb R,Oblique,461,0.93,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:56:47 AM,Wrist R,Lateral,504,3.14,57.0,3.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:57:15 AM,Wrist R,Lateral,533,3.14,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,9:56:11 AM,Wrist R,PA,620,2.89,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:01:41 AM,Wrist L,Lateral,579,2.97,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:01:09 AM,Wrist L,PA,584,1.98,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:10:08 AM,Hip R,AP Oblique,88,33.1,77.0,8.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:09:08 AM,Hip R,AP Oblique,123,32.84,77.0,9.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:08:15 AM,Hip R,AP,112,46.64,77.0,10.0,11.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:07:15 AM,Hip R,AP Pelvis,204,95.04,80.0,14.0,17.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:23:27 AM,Hand R,Lateral,297,5.48,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:21:50 AM,Hand R,Lateral,480,1.61,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:21:19 AM,Hand R,Oblique,275,3.79,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:22:48 AM,Hand R,PA,442,0.87,57.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:22:26 AM,Hand R,PA,212,1.16,57.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:21:06 AM,Hand R,PA,555,4.72,57.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:28:51 AM,Wrist L,Lateral,415,4.1,57.0,3.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:29:23 AM,Wrist L,Lateral,409,4.1,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:28:08 AM,Wrist L,Lateral,462,4.63,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:27:42 AM,Wrist L,PA,278,2.84,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:35:08 AM,Shoulder R,Outlet PA,575,45.15,73.0,20.0,23.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:34:09 AM,Shoulder R,Glenoid,"1,147",20.42,73.0,16.0,18.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:33:37 AM,Shoulder R,AP Neutral,193,6.89,73.0,3.0,3.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:40:59 AM,Shoulder R,Glenoid,430,19.63,73.0,16.0,18.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:42:01 AM,Shoulder R,AP Neutral,223,90.03,77.0,25.0,30.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,10:40:27 AM,Shoulder R,AP Neutral,209,26.5,73.0,8.0,9.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,11:47:21 AM,Finger R,Lat,343,1.5,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,11:46:48 AM,Finger R,Lat,302,0.84,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,11:45:35 AM,Finger R,PA,608,1.17,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:00:16 PM,Tibia/Fibula R,Lateral,374,0.76,60.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,11:59:14 AM,Tibia/Fibula R,AP,349,0.97,60.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:06:49 PM,Hand R,Lateral,446,4.91,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:06:19 PM,Hand R,Oblique,419,3.47,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:05:43 PM,Hand R,PA,471,3.47,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:18:56 PM,Elbow R,AP,838,4.78,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:18:27 PM,Elbow R,AP,715,5.37,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:17:13 PM,Elbow R,Lateral,"1,092",7.44,63.0,4.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:16:23 PM,Elbow R,Lateral,"1,178",7.44,63.0,4.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:25:42 PM,Wrist L,Lateral,"1,128",2.7,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:24:49 PM,Wrist L,PA,785,1.82,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:31:18 PM,Hand L,Lateral,762,1.2,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:30:38 PM,Hand L,Oblique,653,0.7,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:30:00 PM,Hand L,PA,739,0.7,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:45:09 PM,Pelvis,AP Oblique,75,13.74,77.0,4.0,4.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:43:20 PM,Pelvis,AP Pelvis,121,74.23,80.0,11.0,14.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,12:42:45 PM,Pelvis,AP,96,36.11,80.0,5.0,7.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:33:41 PM,Forearm L,AP,762,2.79,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:32:18 PM,Forearm L,AP,783,4.02,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:31:14 PM,Forearm L,AP,766,4.02,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:48:07 PM,Ankle R,Lateral,474,2.98,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:47:35 PM,Ankle R,Oblique,283,2.41,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:46:48 PM,Ankle R,Oblique,284,2.41,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:46:17 PM,Ankle R,AP,229,2.41,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:55:33 PM,Knee L,Lateral,316,6.52,57.0,4.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:54:58 PM,Knee L,Lateral,298,6.52,57.0,4.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,1:54:03 PM,Knee L,AP,286,5.59,57.0,4.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:22:19 PM,Hip L,AP Hip,173,23.17,77.0,6.0,7.0,rejected,Anatomy Cut-off - Collimation
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:23:48 PM,Hip L,AP Oblique,94,15.59,77.0,7.0,8.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:22:42 PM,Hip L,AP Hip,169,22.45,77.0,8.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:21:32 PM,Hip L,AP Pelvis,112,36.02,80.0,7.0,9.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:37:59 PM,Scaphoid R,Axial,896,0.78,60.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:37:18 PM,Scaphoid R,Lateral,741,2.35,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:36:44 PM,Scaphoid R,Oblique,613,1.28,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:36:21 PM,Scaphoid R,PA,685,1.82,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:55:59 PM,Foot R,Lateral,668,6.3,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:55:21 PM,Foot R,Oblique,498,3.86,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,2:54:56 PM,Foot R,DP,457,3.86,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:02:25 PM,Forearm L,Lateral,77,0.61,57.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:00:49 PM,Forearm L,AP,133,0.95,57.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:09:37 PM,Pelvis,AP Oblique,71,21.33,77.0,5.0,6.0,rejected,Anatomy Cut-off - Collimation
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:11:05 PM,Pelvis,AP Oblique,80,46.1,77.0,12.0,14.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:09:56 PM,Pelvis,AP Oblique,58,40.63,77.0,10.0,12.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:08:46 PM,Pelvis,AP,151,116.93,80.0,15.0,19.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:18:30 PM,Pelvis,AP Oblique,82,15.05,77.0,3.0,4.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:19:06 PM,Pelvis,AP Oblique,95,16.38,77.0,4.0,5.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:17:49 PM,Pelvis,AP,169,35.28,80.0,5.0,6.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:33:34 PM,Thumb L,Lat,362,0.75,52.0,2.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:35:18 PM,Thumb L,AP,379,0.75,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:34:23 PM,Thumb L,AP,394,0.75,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:33:05 PM,Thumb L,Oblique,555,0.79,52.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:55:37 PM,Wrist R,Lateral,690,2.62,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:55:13 PM,Wrist R,Lateral,653,2.62,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,03/07/2020,3:54:51 PM,Wrist R,PA,633,1.93,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:35:04 PM,Wrist L,Lateral,670,0.76,57.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:35:48 PM,Wrist L,PA,499,0.6,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:43:17 PM,Ankle L,Lateral,321,3.94,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:42:47 PM,Ankle L,Oblique,173,3.54,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:42:17 PM,Ankle L,AP,177,3.54,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:48:00 PM,Hand R,Lateral,221,0.21,52.0,1.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:47:33 PM,Hand R,Oblique,292,0.21,52.0,1.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:47:00 PM,Hand R,PA,353,0.21,52.0,1.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:54:43 PM,Elbow L,AP,89,1.75,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:55:47 PM,Elbow L,Lateral,337,1.71,60.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,1:52:50 PM,Elbow L,Lateral,475,2.18,60.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:01:40 PM,Ankle L,Lateral,172,2.41,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:00:59 PM,Ankle L,Oblique,100,3.06,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:00:28 PM,Ankle L,AP,107,3.06,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:07:35 PM,Ankle L,Lateral,195,2.65,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:07:05 PM,Ankle L,Oblique,75,2.17,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:06:22 PM,Ankle L,AP,67,2.17,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:13:23 PM,Pelvis,AP Oblique,154,62.62,70.0,16.0,17.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:12:22 PM,Pelvis,AP,558,153.65,77.0,22.0,27.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:20:29 PM,Wrist L,Lateral,640,1.53,57.0,2.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:21:08 PM,Wrist L,Lateral,601,1.53,57.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:19:26 PM,Wrist L,PA,364,1.07,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:29:30 PM,Elbow L,AP,386,2.63,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:28:56 PM,Elbow L,Lateral,487,3.81,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:34:53 PM,Ankle L,Oblique,1,2.57,55.0,3.0,10.0,rejected,Wrong Detector Exposed
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:35:59 PM,Ankle L,Lateral,67,2.49,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:35:16 PM,Ankle L,Oblique,62,1.77,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:34:19 PM,Ankle L,Oblique,63,1.77,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:33:54 PM,Ankle L,AP,62,1.77,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:39:48 PM,Calcaneum L,Axial,49,1.66,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:40:21 PM,Calcaneum L,Lateral,259,2.9,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:45:21 PM,Wrist R,Lateral,389,1.66,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:44:53 PM,Wrist R,PA,346,1.02,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:58:18 PM,Knee L,Skyline,1,2.44,57.0,4.0,10.0,rejected,Wrong Detector Exposed
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:59:29 PM,Knee L,Lateral,220,3.73,57.0,4.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:58:30 PM,Knee L,Skyline,32,3.73,57.0,4.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:59:57 PM,Knee L,Lateral,225,3.73,57.0,4.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,2:56:42 PM,Knee L,AP,148,15.62,57.0,4.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:06:52 PM,Wrist R,Lateral,288,1.92,57.0,3.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:06:30 PM,Wrist R,Lateral,289,1.92,57.0,3.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:07:19 PM,Wrist R,Lateral,309,1.92,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:08:12 PM,Wrist R,PA,180,1.18,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:13:05 PM,Ankle L,Oblique,76,1.85,55.0,3.0,10.0,rejected,Patient Rotated
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:13:53 PM,Ankle L,Lateral,96,1.85,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:13:30 PM,Ankle L,Oblique,76,1.85,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:12:44 PM,Ankle L,AP,75,1.69,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:18:38 PM,Wrist L,Lateral,659,1.83,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:18:17 PM,Wrist L,PA,427,0.9,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:25:51 PM,Ankle R,Lateral,526,2.74,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,06/07/2020,3:25:15 PM,Ankle R,Oblique,316,2.74,55.0,3.0,10.0,confirmed,
